LCLid,tstp,energy(kWh/hh)
MAC000002,1/1/2013 0:00,0.219
MAC000002,1/1/2013 0:30,0.241
MAC000002,1/1/2013 1:00,0.191
MAC000002,1/1/2013 1:30,0.235
MAC000002,1/1/2013 2:00,0.182
MAC000002,1/1/2013 2:30,0.229
MAC000002,1/1/2013 3:00,0.194
MAC000002,1/1/2013 3:30,0.201
MAC000002,1/1/2013 4:00,0.122
MAC000002,1/1/2013 4:30,0.099
MAC000002,1/1/2013 5:00,0.123
MAC000002,1/1/2013 5:30,0.083
MAC000002,1/1/2013 6:00,0.13
MAC000002,1/1/2013 6:30,0.076
MAC000002,1/1/2013 7:00,0.126
MAC000002,1/1/2013 7:30,0.091
MAC000002,1/1/2013 8:00,0.11
MAC000002,1/1/2013 8:30,0.106
MAC000002,1/1/2013 9:00,0.094
MAC000002,1/1/2013 9:30,0.122
MAC000002,1/1/2013 10:00,0.076
MAC000002,1/1/2013 10:30,0.124
MAC000002,1/1/2013 11:00,0.122
MAC000002,1/1/2013 11:30,0.12
MAC000002,1/1/2013 12:00,0.794
MAC000002,1/1/2013 12:30,0.507
MAC000002,1/1/2013 13:00,0.177
MAC000002,1/1/2013 13:30,0.164
MAC000002,1/1/2013 14:00,0.308
MAC000002,1/1/2013 14:30,0.286
MAC000002,1/1/2013 15:00,0.137
MAC000002,1/1/2013 15:30,0.121
MAC000002,1/1/2013 16:00,0.127
MAC000002,1/1/2013 16:30,0.177
MAC000002,1/1/2013 17:00,0.327
MAC000002,1/1/2013 17:30,0.257
MAC000002,1/1/2013 18:00,0.285
MAC000002,1/1/2013 18:30,0.226
MAC000002,1/1/2013 19:00,0.258
MAC000002,1/1/2013 19:30,0.209
MAC000002,1/1/2013 20:00,0.886
MAC000002,1/1/2013 20:30,0.573
MAC000002,1/1/2013 21:00,0.25
MAC000002,1/1/2013 21:30,0.292
MAC000002,1/1/2013 22:00,0.231
MAC000002,1/1/2013 22:30,0.281
MAC000002,1/1/2013 23:00,0.253
MAC000002,1/1/2013 23:30,0.258
MAC000002,1/2/2013 0:00,0.253
MAC000002,1/2/2013 0:30,0.211
MAC000002,1/2/2013 1:00,0.347
MAC000002,1/2/2013 1:30,0.28
MAC000002,1/2/2013 2:00,0.261
MAC000002,1/2/2013 2:30,0.229
MAC000002,1/2/2013 3:00,0.258
MAC000002,1/2/2013 3:30,0.125
MAC000002,1/2/2013 4:00,0.116
MAC000002,1/2/2013 4:30,0.105
MAC000002,1/2/2013 5:00,0.102
MAC000002,1/2/2013 5:30,0.115
MAC000002,1/2/2013 6:00,0.086
MAC000002,1/2/2013 6:30,0.124
MAC000002,1/2/2013 7:00,0.073
MAC000002,1/2/2013 7:30,0.124
MAC000002,1/2/2013 8:00,0.078
MAC000002,1/2/2013 8:30,0.137
MAC000002,1/2/2013 9:00,0.237
MAC000002,1/2/2013 9:30,0.457
MAC000002,1/2/2013 10:00,0.341
MAC000002,1/2/2013 10:30,0.651
MAC000002,1/2/2013 11:00,0.497
MAC000002,1/2/2013 11:30,0.297
MAC000002,1/2/2013 12:00,0.219
MAC000002,1/2/2013 12:30,0.185
MAC000002,1/2/2013 13:00,0.223
MAC000002,1/2/2013 13:30,0.133
MAC000002,1/2/2013 14:00,0.111
MAC000002,1/2/2013 14:30,0.131
MAC000002,1/2/2013 15:00,0.223
MAC000002,1/2/2013 15:30,0.508
MAC000002,1/2/2013 16:00,1.0779999
MAC000002,1/2/2013 16:30,0.419
MAC000002,1/2/2013 17:00,0.246
MAC000002,1/2/2013 17:30,0.418
MAC000002,1/2/2013 18:00,0.523
MAC000002,1/2/2013 18:30,0.219
MAC000002,1/2/2013 19:00,0.19
MAC000002,1/2/2013 19:30,0.215
MAC000002,1/2/2013 20:00,0.64
MAC000002,1/2/2013 20:30,0.588
MAC000002,1/2/2013 21:00,0.254
MAC000002,1/2/2013 21:30,0.236
MAC000002,1/2/2013 22:00,0.269
MAC000002,1/2/2013 22:30,0.268
MAC000002,1/2/2013 23:00,0.245
MAC000002,1/2/2013 23:30,0.255
MAC000002,1/3/2013 0:00,0.196
MAC000002,1/3/2013 0:30,0.239
MAC000002,1/3/2013 1:00,0.235
MAC000002,1/3/2013 1:30,0.195
MAC000002,1/3/2013 2:00,0.239
MAC000002,1/3/2013 2:30,0.201
MAC000002,1/3/2013 3:00,0.206
MAC000002,1/3/2013 3:30,0.133
MAC000002,1/3/2013 4:00,0.087
MAC000002,1/3/2013 4:30,0.127
MAC000002,1/3/2013 5:00,0.085
MAC000002,1/3/2013 5:30,0.115
MAC000002,1/3/2013 6:00,0.108
MAC000002,1/3/2013 6:30,0.092
MAC000002,1/3/2013 7:00,0.125
